iso_code,continent,Country,date,Cases,Deaths,Population,Density,GDP,HDI,Score
NIC,North America,Nicaragua,2021-04-30,1041.278,27.474,6624554.0,51.667,5321.444,0.66,22.0
NER,Africa,Niger,2021-04-30,215.97400000000002,7.89,24206636.0,16.955,926.0,0.39399999999999996,32.0
NGA,Africa,Nigeria,2021-04-30,800.962,10.008,206139587.0,209.588,5338.454000000001,0.539,25.0
MKD,Europe,North Macedonia,2021-04-30,73134.522,2330.348,2083380.0,82.6,13111.214,0.774,35.0
NOR,Europe,Norway,2021-04-30,20838.398,139.451,5421242.0,14.462,64800.057,0.9570000000000001,84.0
OMN,Asia,Oman,2021-04-30,37843.608,393.60699999999997,5106622.0,14.98,37960.709,0.813,54.0
PAK,Asia,Pakistan,2021-04-30,3737.2009999999996,81.293,220892331.0,255.57299999999998,5034.708,0.557,31.0
PAN,North America,Panama,2021-04-30,84494.925,1444.342,4314768.0,55.133,22267.037,0.815,35.0
PNG,Oceania,Papua New Guinea,2021-04-30,1229.123,11.959000000000001,8947027.0,18.22,3823.1940000000004,0.555,27.0
PRY,South America,Paraguay,2021-04-30,39127.35,895.194,7132530.0,17.144000000000002,8827.01,0.728,28.0
PER,South America,Peru,2021-04-30,54575.197,1864.53,32971846.0,25.129,12236.706,0.777,38.0
PHL,Asia,Philippines,2021-04-30,9467.51,157.27200000000002,109581085.0,351.87300000000005,7599.188,0.718,34.0
POL,Europe,Poland,2021-04-30,73775.23,1783.568,37846605.0,124.027,27216.445,0.88,56.0
PRT,Europe,Portugal,2021-04-30,82035.602,1664.655,10196707.0,112.37100000000001,27936.896,0.8640000000000001,61.0
QAT,Asia,Qatar,2021-04-30,71380.672,158.969,2881060.0,227.322,116935.6,0.848,63.0
ROU,Europe,Romania,2021-04-30,54854.062000000005,1461.1429999999998,19237682.0,85.12899999999999,23313.199,0.828,44.0
RUS,Europe,Russia,2021-04-30,32554.031000000003,742.045,145934460.0,8.823,24765.953999999998,0.8240000000000001,30.0
RWA,Africa,Rwanda,2021-04-30,1939.129,25.864,12952209.0,494.869,1854.211,0.5429999999999999,54.0
LCA,North America,Saint Lucia,2021-04-30,24789.112999999998,402.986,183629.0,293.187,12951.839,0.759,56.0
VCT,North America,Saint Vincent and the Grenadines,2021-04-30,16800.815,99.146,110947.0,281.78700000000003,10727.146,0.738,59.0
STP,Africa,Sao Tome and Principe,2021-04-30,10503.694,159.7,219161.0,212.84099999999998,3052.7140000000004,0.625,47.0
SAU,Asia,Saudi Arabia,2021-04-30,11988.413,199.834,34813867.0,15.322000000000001,49045.41099999999,0.8540000000000001,53.0
SEN,Africa,Senegal,2021-04-30,2409.47,66.11399999999999,16743930.0,82.32799999999999,2470.58,0.512,45.0
SRB,Europe,Serbia,2021-04-30,101336.94900000001,934.956,6804596.0,80.291,14048.881000000001,0.8059999999999999,38.0
SYC,Africa,Seychelles,2021-04-30,59721.375,284.726,98340.0,208.354,26382.287,0.7959999999999999,66.0
SLE,Africa,Sierra Leone,2021-04-30,508.212,9.902999999999999,7976985.0,104.7,1390.3,0.452,33.0
SGP,Asia,Singapore,2021-04-30,10451.524,5.127999999999999,5850343.0,7915.731,85535.383,0.938,85.0
SVK,Europe,Slovakia,2021-04-30,70006.592,2140.067,5459643.0,113.12799999999999,30155.152000000002,0.86,49.0
SVN,Europe,Slovenia,2021-04-30,115584.34800000001,2044.319,2078932.0,102.619,31400.84,0.917,60.0
ZAF,Africa,South Africa,2021-04-30,26660.68,916.3919999999999,59308690.0,46.754,12294.876,0.7090000000000001,44.0
KOR,Asia,South Korea,2021-04-30,2391.9629999999997,35.713,51269183.0,527.967,35938.373999999996,0.9159999999999999,61.0
ESP,Europe,Spain,2021-04-30,75373.615,1672.898,46754783.0,93.105,34272.36,0.904,62.0
LKA,Asia,Sri Lanka,2021-04-30,5050.424,31.663,21413250.0,341.955,11669.077,0.782,38.0
SDN,Africa,Sudan,2021-04-30,774.1060000000001,53.57,43849269.0,23.258000000000003,4466.5070000000005,0.51,16.0
SUR,South America,Suriname,2021-04-30,17665.188000000002,347.74699999999996,586634.0,3.612,13767.118999999999,0.738,38.0
SWE,Europe,Sweden,2021-04-30,96403.403,1390.9920000000002,10099270.0,24.718000000000004,46949.282999999996,0.945,85.0
CHE,Europe,Switzerland,2021-04-30,76256.86099999999,1228.4769999999999,8654618.0,214.243,57410.166,0.955,85.0
TJK,Asia,Tajikistan,2021-04-30,1395.3129999999999,9.436,9537642.0,64.281,2896.913,0.6679999999999999,25.0
TZA,Africa,Tanzania,2021-04-30,8.521,0.35200000000000004,59734213.0,64.699,2683.304,0.529,38.0
THA,Asia,Thailand,2021-04-30,933.424,2.908,69799978.0,135.132,16277.671,0.777,36.0
TLS,Asia,Timor,2021-04-30,1726.28,2.275,1318442.0,87.176,6570.102,0.606,40.0
TGO,Africa,Togo,2021-04-30,1566.3020000000001,14.857000000000001,8278737.0,143.366,1429.8129999999999,0.515,29.0
TTO,North America,Trinidad and Tobago,2021-04-30,7734.241,120.758,1399491.0,266.88599999999997,28763.071,0.7959999999999999,40.0
TUN,Africa,Tunisia,2021-04-30,26155.257999999998,907.2130000000001,11818618.0,74.22800000000001,10849.296999999999,0.74,44.0
TUR,Asia,Turkey,2021-04-30,57157.272000000004,475.829,84339067.0,104.914,25129.341,0.82,40.0
UGA,Africa,Uganda,2021-04-30,915.284,7.477,45741000.0,213.75900000000001,1697.707,0.544,27.0
UKR,Europe,Ukraine,2021-04-30,48568.200999999994,1050.058,43733759.0,77.39,7894.393,0.779,33.0
ARE,Asia,United Arab Emirates,2021-04-30,52600.097,160.459,9890400.0,112.44200000000001,67293.483,0.89,71.0
GBR,Europe,United Kingdom,2021-04-30,65289.54,1882.1989999999998,67886004.0,272.89799999999997,39753.244,0.932,77.0
USA,North America,United States,2021-04-30,97724.20599999999,1741.158,331002647.0,35.608000000000004,54225.445999999996,0.9259999999999999,67.0
URY,South America,Uruguay,2021-04-30,57122.508,753.082,3473727.0,19.750999999999998,20551.409,0.8170000000000001,71.0
UZB,Asia,Uzbekistan,2021-04-30,2713.1809999999996,19.391,33469199.0,76.134,6253.104,0.72,26.0
VUT,Oceania,Vanuatu,2021-04-30,13.023,3.2560000000000002,307150.0,22.662,2921.909,0.609,43.0
VEN,South America,Venezuela,2021-04-30,6951.871,75.116,28435943.0,36.253,16745.022,0.711,15.0
VNM,Asia,Vietnam,2021-04-30,30.081,0.36,97338583.0,308.127,6171.884,0.7040000000000001,36.0
YEM,Asia,Yemen,2021-04-30,211.795,41.105,29825968.0,53.508,1479.1470000000002,0.47,15.0
ZMB,Africa,Zambia,2021-04-30,4981.844,68.048,18383956.0,22.995,3689.2509999999997,0.584,33.0
ZWE,Africa,Zimbabwe,2021-04-30,2573.988,105.43,14862927.0,42.729,1899.775,0.5710000000000001,24.0
