,iso_code,continent,Country,date,Cases,Deaths,Vaxxed,GDP,HDI,Score,Rank
147,LKA,Asia,Sri Lanka,2021-04-27,4832.849,30.215,,11669.077,0.782,38.0,94.0
148,SDN,Africa,Sudan,2021-04-27,772.898,53.57,,4466.5070000000005,0.51,16.0,174.0
149,SUR,South America,Suriname,2021-04-27,17314.032,342.63300000000004,,13767.118999999999,0.738,38.0,94.0
150,SWE,Europe,Sweden,2021-04-27,94388.406,1383.07,7.24,46949.282999999996,0.945,85.0,3.0
151,CHE,Europe,Switzerland,2021-04-27,75561.625,1223.74,,57410.166,0.955,85.0,3.0
152,SYR,Asia,Syria,2021-04-27,1279.323,89.08200000000001,,,0.5670000000000001,14.0,178.0
153,TWN,Asia,Taiwan,2021-04-27,46.606,0.504,,,,65.0,28.0
154,TJK,Asia,Tajikistan,2021-04-27,1395.3129999999999,9.436,,2896.913,0.6679999999999999,25.0,149.0
155,TZA,Africa,Tanzania,2021-04-27,8.521,0.35200000000000004,,2683.304,0.529,38.0,94.0
156,THA,Asia,Thailand,2021-04-27,855.1289999999999,2.335,,16277.671,0.777,36.0,104.0
157,TLS,Asia,Timor,2021-04-27,1553.349,2.275,,6570.102,0.606,40.0,86.0
158,TGO,Africa,Togo,2021-04-27,1556.276,14.737,,1429.8129999999999,0.515,29.0,134.0
159,TTO,North America,Trinidad and Tobago,2021-04-27,7107.584,115.042,,28763.071,0.7959999999999999,40.0,86.0
160,TUN,Africa,Tunisia,2021-04-27,25686.929,883.69,,10849.296999999999,0.74,44.0,69.0
161,TUR,Asia,Turkey,2021-04-27,55852.905999999995,463.095,9.84,25129.341,0.82,40.0,86.0
162,UGA,Africa,Uganda,2021-04-27,912.4639999999999,7.455,,1697.707,0.544,27.0,142.0
163,UKR,Europe,Ukraine,2021-04-27,47844.527,1023.534,0.0,7894.393,0.779,33.0,117.0
164,ARE,Asia,United Arab Emirates,2021-04-27,52029.342000000004,159.549,,67293.483,0.89,71.0,21.0
165,GBR,Europe,United Kingdom,2021-04-27,65186.617999999995,1881.168,,39753.244,0.932,77.0,11.0
166,USA,North America,United States,2021-04-27,97206.851,1732.255,28.93,54225.445999999996,0.9259999999999999,67.0,25.0
167,URY,South America,Uruguay,2021-04-27,54723.932,705.87,15.95,20551.409,0.8170000000000001,71.0,21.0
168,UZB,Asia,Uzbekistan,2021-04-27,2677.985,19.301,,6253.104,0.72,26.0,146.0
169,VUT,Oceania,Vanuatu,2021-04-27,13.023,3.2560000000000002,,2921.909,0.609,43.0,75.0
170,VEN,South America,Venezuela,2021-04-27,6812.54,73.217,,16745.022,0.711,15.0,176.0
171,VNM,Asia,Vietnam,2021-04-27,29.351,0.36,,6171.884,0.7040000000000001,36.0,104.0
172,YEM,Asia,Yemen,2021-04-27,208.543,40.468,,1479.1470000000002,0.47,15.0,176.0
173,ZMB,Africa,Zambia,2021-04-27,4972.706,67.94,,3689.2509999999997,0.584,33.0,117.0
174,ZWE,Africa,Zimbabwe,2021-04-27,2567.731,105.296,0.43,1899.775,0.5710000000000001,24.0,157.0
